State,Volume ,Ethanol ,PerCapita 
Alabama,"97,712 ","4,397 ",1.09 
Alaska,"15,146 ",682 ,1.15 
Arizona,"143,313 ","6,449 ",1.14 
Arkansas,"50,621 ","2,278 ",0.93 
California,"687,240 ","30,926 ",0.96 
Colorado,"115,745 ","5,209 ",1.14 
Connecticut,"56,761 ","2,554 ",0.85 
Delaware,"21,097 ",949 ,1.20 
Dist.of Columbia,"14,632 ",658 ,1.13 
Florida,"422,154 ","18,997 ",1.09 
Georgia,"185,163 ","8,332 ",0.99 
Hawaii,"33,852 ","1,523 ",1.29 
Idaho,"27,593 ","1,242 ",0.92 
Illinois,"262,276 ","11,802 ",1.12 
Indiana,"118,132 ","5,316 ",0.98 
Iowa,"74,121 ","3,335 ",1.30 
Kansas,"53,477 ","2,406 ",1.02 
Kentucky,"78,371 ","3,527 ",0.96 
Louisiana,"106,082 ","4,774 ",1.25 
Maine,"34,441 ","1,550 ",1.36 
Maryland,"91,886 ","4,135 ",0.83 
Massachusetts,"121,900 ","5,485 ",0.95 
Michigan,"190,291 ","8,563 ",1.04 
Minnesota,"115,643 ","5,204 ",1.15 
Mississippi,"69,347 ","3,121 ",1.28 
Missouri,"128,846 ","5,798 ",1.15 
Montana,"31,048 ","1,397 ",1.62 
Nebraska,"44,361 ","1,996 ",1.30 
Nevada,"75,640 ","3,404 ",1.41 
New Hampshire,"47,430 ","2,134 ",1.87 
New Jersey,"135,941 ","6,117 ",0.82 
New Mexico,"41,979 ","1,889 ",1.11 
New York,"332,576 ","14,966 ",0.91 
North Carolina,"196,313 ","8,834 ",1.05 
North Dakota,"22,384 ","1,007 ",1.64 
Ohio,"245,520 ","11,048 ",1.15 
Oklahoma,"74,307 ","3,344 ",1.05 
Oregon,"94,124 ","4,236 ",1.24 
Pennsylvania,"312,418 ","14,059 ",1.31 
Rhode Island,"18,700 ",842 ,0.94 
South Carolina,"107,477 ","4,836 ",1.18 
South Dakota,"22,537 ","1,014 ",1.46 
Tennessee,"124,793 ","5,616 ",1.02 
Texas,"642,608 ","28,917 ",1.30 
Utah,"32,457 ","1,461 ",0.63 
Vermont,"18,600 ",837 ,1.56 
Virginia,"154,231 ","6,940 ",1.00 
Washington,"128,030 ","5,761 ",0.96 
West Virginia,"40,951 ","1,843 ",1.19 
Wisconsin,"144,956 ","6,523 ",1.36 
Wyoming,"12,498 ",562 ,1.18 